Name,Class,Pmin,a0,h
Mighei,CM2,-2.0,22.5,0.32
Orgueil,CI1,-2.0,21.5,0.24
Murchison,CM2,-1.8,23,0.3
Allende,CV3,-1.1,25,0.16
Karoonda,CK4,-1.0,18.5,0.13
Nogoya,CM2,-2.2,22.5,0.285
Felix,CO3,-1.4,27.5,0.174
Grosnaja,CV3,-1.45,26.2,0.169
Ornans,CO3,-1.5,28.4,0.126
Karoonda,CK4,-1.15,19.1,0.18
Abee,EH4,-1.2,18.5,0.15
Ochansk,H4,-0.6,19,0.09
Oubari,LL6,-0.65,22.5,0.08
Pultusk,H5,-0.6,22,0.05
Girgenti,L6,-0.35,18,0.04
Paragould,LL5,-1.1,22,0.129
Tieschitz,H/L3.6,-0.65,20.6,0.098
Olivenza,LL5,-0.35,17.4,0.057
Colby (Wisconsin),L6,-0.4,18.3,0.0054
