,DATE,INST,P,alpha,eP
0,20171209,NAOJ/PICO,-0.24,19.26,0.11
1,20171210,NAOJ/PICO,-0.16,19.15,0.11
2,20171211,NAOJ/PICO,0,19.98,0.10
3,20171212,NAOJ/PICO,0.90,22.62,0.11
4,20171213,NAOJ/PICO,1.89,27.1,0.10
5,211027,Nayuta/WFGS2,-0.45,15.86,0.58
6,211028,Nayuta/WFGS2,-1.01,15.52,0.35
7,211114,Nayuta/WFGS2,-1.33,9.04,0.15
8,211115,Nayuta/WFGS2,-1.23,8.84,0.16
9,2021-11-02,Kanata/HONIR,-0.99,13.41,0.25
12,20211222,Kanata/HONIR,0.55,22.59,0.41
13,20211223,Kanata/HONIR,0.85,23.03,0.32
15,2021-11-10,NOT/FAPOL,-1.37,10.46,0.23
16,2021-11-13,NOT/FAPOL,-1.31,9.47,0.25
17,2021-11-15,NOT/FAPOL,-1.39,8.95,0.2
18,2021-11-30,NOT/FAPOL,-1.29,11.52,0.13
19,2021-12-11,NOT/FAPOL,-0.66,17.24,0.2
20,2021-12-23,NOT/FAPOL,0.66,23.22,0.11
21,2022-01-24,NOT/FAPOL,3.55,32.37,0.32
